model;quality;metric;supersampled;bpp;psnr_rgb;psnr_y;ssim_rgb;ssim_y;msssim
bicubic;0;none;TRUE;6;38.9306;40.3197;0.969609;0.973673;0.997868
mbt2018;4;mse;FALSE;0.23706267774105072;34.7707;36.6957;0.923346;0.940176;0.984101
mbt2018;4;msssim;FALSE;0.23513096570968628;33.8863;35.5944;0.924993;0.939194;0.989894
mbt2018;6;mse;FALSE;0.548190176486969;37.6689;39.7326;0.956693;0.967833;0.992928
mbt2018;6;msssim;FALSE;0.5054720640182495;35.8378;37.5315;0.95101;0.960852;0.995046
mbt2018;8;mse;FALSE;1.1597307920455933;41.6856;43.9544;0.980405;0.986601;0.997336
mbt2018;8;msssim;FALSE;0.9709911942481995;38.8819;40.5737;0.973731;0.979525;0.997799
mbt2018;4;mse;TRUE;0.04615425;29.5499;31.2033;0.815105;0.843316;0.937425
mbt2018;4;msssim;TRUE;0.04489025;29.0169;30.5737;0.803351;0.830897;0.935894
mbt2018;6;mse;TRUE;0.10155775;30.5356;32.1893;0.843727;0.867576;0.951083
mbt2018;6;msssim;TRUE;0.08747925;29.8517;31.3928;0.826651;0.850984;0.947902
mbt2018;8;mse;TRUE;0.207964;31.5971;33.2381;0.8597;0.879178;0.955712
mbt2018;8;msssim;TRUE;0.16737;30.8267;32.3323;0.852598;0.872618;0.955932
jpeg;7;none;FALSE;0.19219238851667222;27.84681350320799;;;;0.8739235413477833
jpeg;15;none;FALSE;0.27898925150925086;31.453954230846676;;;;0.9388977111058128
jpeg;22;none;FALSE;0.3503788049850618;32.991626091792824;;;;0.9584693015742123
jpeg;30;none;FALSE;0.4677824069872537;34.743390896833965;;;;0.9728365110275441
jpeg;37;none;FALSE;0.5011296084610167;35.94583943769739;;;;0.9788504649597899
jpeg;45;none;FALSE;0.5437233423050691;36.65605398873274;;;;0.9822927671939807
jpeg;53;none;FALSE;0.639395571213997;37.29758018629042;;;;0.9851833763427305
jpeg;60;none;FALSE;0.6799610603795665;38.307680218287345;;;;0.9878292417615876
jpeg;68;none;FALSE;0.773935162821984;39.83582351857128;;;;0.9913436604621715
jpeg;75;none;FALSE;0.8429854636007041;43.64054077505353;;;;0.9943486219061944
jpeg;82;none;FALSE;0.9865352711693126;43.09241866548452;;;;0.9951918763773782
jpeg;90;none;FALSE;1.4037968892952155;45.40092191887506;;;;0.9972880631685257
